92,3k6u76lSaKt4FrxSphXPRj,Going To A Go-Go,album,6TKOZZDd5uV5KnyC5G4MUt,Smokey Robinson & The Miracles,54.0,1965-01-01,spotify:album:3k6u76lSaKt4FrxSphXPRj
93,5yzgzivi3L7IK2VNdYgmlk,Inner Views,album,4ui9JwXE5MHylLzpsoiEhr,Sonny Bono,17.0,1967,spotify:album:5yzgzivi3L7IK2VNdYgmlk
94,1pY5yYIU9DNm9GTFhCyMTt,The Best Of Roy Head,album,5wKpYtFnMb1OgGxuJsmrPY,Roy Head,18.0,2009-01-01,spotify:album:1pY5yYIU9DNm9GTFhCyMTt
95,0wO6YoOaFOXKatKb9n20IX,Greatest Hits: Jack Jones,album,6eVCRmRG2HcfL4yx77A9WK,Jack Jones,33.0,1995-09-12,spotify:album:0wO6YoOaFOXKatKb9n20IX
96,1k8XUyl8B83dBEIsdPPb5U,I'm A Fool,album,3lcfZLW21dTfmTLBmae1eR,"Dino, Desi & Billy",11.0,2005-02-08,spotify:album:1k8XUyl8B83dBEIsdPPb5U
97,05wRON6KWMYqj8Mu2hcsFb,The Originals - Classic Hits from the 50's & 60's,album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,29.0,2012-03-13,spotify:album:05wRON6KWMYqj8Mu2hcsFb
98,2g6zIUb6GvP0k5KtLpWOEQ,The Wonderful World of the 60's - 100 Hit Songs,album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,48.0,2008-05-29,spotify:album:2g6zIUb6GvP0k5KtLpWOEQ
99,1kYeM6oy6I8tK7668jM7Hw,How Sweet It Is To Be Loved By You,album,3koiLjNrgRTNbOwViDipeA,Marvin Gaye,41.0,1965,spotify:album:1kYeM6oy6I8tK7668jM7Hw
100,,,,,,,,
101,0gC39hx2OS9rA9hSItx217,Just The Right Sound: The Association Anthology [Digital Version],album,2kuNswDC82PL9xRbfaZJaS,The Association,51.0,2006-04-11,spotify:album:0gC39hx2OS9rA9hSItx217
