"""lil red riding hood""",1966.0,0.736,0.752,161080.0,0.397,"""4xYcvJQvUxImEVFSuKub1p""",0.0,11.0,0.176,-10.012,0.0,0.0392,121.87,4.0,0.557
"""devil with a blue dress ongood golly miss molly""",1966.0,,,,,,,,,,,,,,
"""good vibrations""",1966.0,0.326,0.396,219027.0,0.473,"""5t9KYe0Fhd5cW6UYT4qP8f""",0.000124,10.0,0.109,-7.67,0.0,0.0345,133.449,4.0,0.358
"""a groovy kind of love""",1966.0,0.628,0.472,119440.0,0.632,"""4fMIYsT8NBZnjfabukzgAI""",0.0,9.0,0.117,-5.471,1.0,0.0272,97.274,4.0,0.756
"""you dont have to say you love me""",1966.0,0.379,0.323,170440.0,0.517,"""0q8nQ0H4ad4KYcZdrTZPux""",0.0,2.0,0.0748,-9.08,0.0,0.0341,112.09,3.0,0.612
"""cool jerk""",1966.0,0.339,0.704,166747.0,0.574,"""1CQHMHRCDs1qioeseVTbaR""",0.0,10.0,0.0705,-14.524,0.0,0.0611,83.955,4.0,0.759
"""born a woman""",1966.0,0.685,0.75,120453.0,0.456,"""5KEnvHcFjvt3ZVy2yPuMo6""",1.03e-06,0.0,0.134,-9.47,1.0,0.029,114.501,4.0,0.935
"""red rubber ball""",1966.0,0.657,0.644,137493.0,0.459,"""6DuLN8tFW0DkH9wsbTHZsX""",0.0,9.0,0.0876,-11.702,1.0,0.0322,92.801,4.0,0.875
"""baby""",1966.0,0.428,0.74,177000.0,0.301,"""35w6fQ0Wnuv7aIryRx7gTq""",0.0,8.0,0.0782,-11.975,1.0,0.0467,113.61,4.0,0.683
"""walk away renee""",1966.0,0.229,0.472,162907.0,0.444,"""4wfK7KMFTFMNDDfKDe1aWi""",0.0,9.0,0.306,-11.75,1.0,0.0293,118.281,4.0,0.575
"""daydream""",1966.0,0.834,0.822,139093.0,0.332,"""3c06k9x6MHHdPQi3ix68yF""",0.0,1.0,0.11,-11.369,1.0,0.0506,110.802,4.0,0.825
"""time wont let me""",1966.0,0.35,0.438,181733.0,0.425,"""7i4rIZqwNg4wtmYO6SDKru""",4.03e-05,11.0,0.48,-20.396,0.0,0.0307,150.239,4.0,0.826
"""hooray for hazel""",1966.0,0.122,0.72,151040.0,0.555,"""41IOFD9RMoMGOliWjUYJdG""",0.0,9.0,0.0546,-13.236,1.0,0.0381,115.986,4.0,0.928
"""sweet pea""",1966.0,0.0733,0.651,134893.0,0.554,"""6huU7kH11qu59yPeKwERsL""",1.97e-06,4.0,0.0676,-12.327,1.0,0.0364,119.279,4.0,0.963
"""bus stop""",1966.0,0.0614,0.625,175160.0,0.76,"""0K3i1MJwU4v0Aq0VdYZnPg""",0.0,4.0,0.116,-5.591,0.0,0.0388,136.541,4.0,0.711
